code_insee;latitude;longitude
2489;49.562;3.54
2490;49.476;3.574
2491;49.785;3.631
2492;49.662;3.486
2493;49.622;3.717
2494;49.91;3.7
2495;49.964;4.051
2496;49.146;3.229
2497;49.538;3.555
2498;49.553;3.844
2499;49.53;3.513
2500;49.964;3.356
2501;49.513;3.727
2502;49.689;4.029
2503;49.852;3.527
2504;49.736;3.262
2505;48.947;3.432
2506;49.29;3.174
2507;49.177;3.327
2508;49.489;3.656
2509;49.109;3.294
2510;49.028;3.552
2511;49.912;3.483
2512;49.122;3.107
2513;49.688;3.918
2514;49.373;3.099
2515;48.983;3.566
2516;49.741;3.804
2517;49.715;3.584
2518;48.963;3.515
2519;49.668;4.063
2520;49.292;3.582
2521;49.026;3.194
2522;49.793;4.211
2523;49.275;3.643
2524;49.082;3.477
2525;49.876;3.334
2526;49.754;4.076
2527;49.462;3.191
2528;49.336;3.08
2529;49.694;3.664
2530;49.42;3.679
2531;49.413;3.637
2532;49.75;3.351
2533;49.278;3.435
2534;49.36;3.744
2535;49.777;4.002
2536;49.305;3.434
2537;49.434;3.448
2538;49.191;3.412
2539;49.951;3.259
2540;49.0;3.446
2541;49.437;4.024
2542;49.616;3.16
2543;49.163;3.264
2544;49.929;4.041
2545;49.714;3.834
2546;49.676;3.156
2547;49.788;3.732
2548;49.983;3.686
2549;49.821;3.334
2550;49.47;3.698
2551;49.455;3.399
2552;49.855;3.468
2553;49.574;4.031
2554;49.014;3.403
2555;48.943;3.333
2556;49.669;4.094
2557;49.204;3.207
2558;50.009;3.809
2559;49.708;3.494
2560;49.708;3.461
2561;49.509;3.605
2562;49.433;3.188
2563;49.908;3.538
2564;49.332;3.334
2565;49.393;3.682
2566;49.614;3.191
2567;49.918;4.012
2568;49.214;3.13
2569;50.023;3.653
2570;49.73;3.146
2571;49.88;3.298
2572;49.376;4.016
2573;49.504;3.703
2574;49.886;4.011
2575;49.827;3.529
2576;49.4;3.237
2577;49.43;3.565
2578;49.431;3.74
2579;49.21;3.341
2580;49.207;3.382
2581;49.33;3.603
2582;49.426;3.702
2583;49.461;3.65
2584;50.017;3.88
2585;49.27;3.329
2586;49.744;4.162
2587;49.538;3.704
2588;49.394;3.703
2589;49.463;3.539
2590;48.955;3.564
2591;49.732;3.618
2592;49.794;3.564
2593;49.402;3.298
2594;49.162;3.184
2595;49.066;3.574
2596;48.953;3.284
2598;49.376;3.23
2599;49.567;3.258
2600;49.648;3.788
2601;49.409;4.03
2602;49.488;3.462
2604;49.756;3.104
2605;49.797;3.526
2606;49.239;3.348
2607;49.331;3.275
2608;49.819;4.02
2609;49.493;3.74
2610;49.392;3.279
2612;49.392;3.62
2613;49.418;3.82
2614;49.922;3.201
2615;49.915;3.23
2616;49.494;3.279
2617;49.678;3.586
2618;50.014;3.397
2619;49.549;3.418
2620;49.39;3.54
2621;49.514;3.625
2622;49.131;3.263
2623;49.772;3.863
2624;49.891;3.752
2625;49.902;3.574
2626;49.476;3.972
2627;49.478;4.016
2628;49.293;3.134
2629;49.847;3.664
2631;49.564;3.146
2632;49.509;3.385
2633;49.308;3.559
2634;49.702;4.159
2635;49.958;3.331
2636;49.834;3.421
2637;49.895;3.35
2638;49.679;3.525
2639;49.714;3.295
2640;49.734;3.453
2641;49.739;4.037
2642;49.741;4.21
2643;49.388;3.141
2644;49.319;3.004
2645;49.051;3.564
2647;50.037;3.588
2648;49.788;3.47
2649;49.145;3.389
2650;50.019;3.973
2651;49.649;3.416
2652;49.767;3.821
2653;48.985;3.334
2654;49.888;3.733
2655;49.14;3.602
2656;49.375;3.82
2657;49.806;3.787
2658;49.812;3.182
2659;49.858;3.333
2660;49.715;4.176
2661;49.512;3.538
2662;49.198;3.297
2663;49.323;3.371
2664;48.924;3.45
2665;49.242;3.382
2666;49.706;4.131
2667;49.351;3.247
2668;49.828;3.705
